Make,Model,Year,Color,VIN,Price
Lotus,Esprit,2002,Blue,SALCT2BG8FH643659,50321.35
BMW,X3,1995,Maroon,WVWAA7AH3AV831690,92105.97
Volkswagen,Type 2,1996,Purple,WAURVAFA2AN708637,82858.83
Cadillac,DeVille,2011,Mauv,JHMZE2H57AS415454,56374.44
Toyota,Venza,2008,Purple,JTDKDTB34C1548068,17067.23
Ford,Escort,1997,Purple,WDDNG9FBXDA399875,71975.16
Mazda,Protege5,2020,Puce,SCFBB03B07G462481,27041.24
Maserati,Quattroporte,2023,Crimson,2G61W5S83E9482773,35270.06
Alfa Romeo,164,1996,Purple,2T1BU4EEXCC891594,11756.29
Alfa Romeo,164,1994,Green,JM1DE1KY2C0168075,92090.68
Lincoln,Town Car,2018,Green,WBXPC935X7W739128,77491.31
Ram,3500,1993,Blue,JH4NA126X4T398766,77319.16
Mitsubishi,Mirage,2006,Red,5TDBKRFH7FS230256,70350.2
Mercedes-Benz,W201,2016,Mauv,1GYS3NKJ6FR364506,84613.09
Ford,Mustang,2014,Yellow,1N6AD0CU4AC575996,83170.51
Lincoln,Continental,1994,Yellow,1G6AH5R35F0504093,32220.34
Lexus,LX,2000,Mauv,WAUJC58E72A941187,58739.97
Ford,F350,2016,Indigo,WAUAF98EX7A381512,11022.59
Saab,9-2X,2016,Crimson,1G6KF54943U968745,32289.43
Chevrolet,G-Series 1500,1993,Orange,JHMZF1C46BS160268,50449.86
Buick,Coachbuilder,2002,Yellow,1G6DG5E57C0457121,51700.63
Volkswagen,Quantum,2017,Green,WAUGFAFR3EA103582,32111.41
Mercedes-Benz,S-Class,1992,Crimson,WFJAODBFOJJEI01857,44016.57
Mercedes-Benz,SLK55 AMG,2021,Fuscia,HJGFNAPWIKFN91029,40439.25
Chevrolet,Malibu,2015,Indigo,WAUCH74FX9N676692,61000.34
Mazda,MX-5,1995,Purple,5J8TB3H51GL768640,66474.17
Pontiac,Sunbird,2000,Aquamarine,WAUWG74F79N028498,86658.04
Plymouth,Neon,2011,Khaki,JHMFA3F20BS198781,54651.72
Honda,Prelude,2010,Aquamarine,1FTWF3B5XAE780545,49406
Ford,F250,2002,Maroon,JN1CV6FE2CM376008,22363
Pontiac,LeMans,2013,Teal,JM1CW2BL5E0321621,60129.88
Oldsmobile,Intrigue,2022,Pink,KMHCT4AE9DU662644,38785.6
GMC,Yukon,2002,Violet,WAUFFAFLXBN415149,56542.2
Tesla,Roadster,2000,Indigo,JTHKD5BH0B2287374,29064.89
Chrysler,Sebring,2009,Blue,1G6DJ1ED4B0182291,47932.59
Land Rover,Range Rover,2021,Indigo,KNAFT4A23A5310802,42777.43
Suzuki,Swift,2008,Turquoise,1C4SDJCT2FC087044,85460.17
Volvo,V70,2007,Maroon,JTHBF5C23D5234612,42666.42
Saturn,VUE,1993,Purple,WDCGG0EBXDG017478,44862.26
Jaguar,XF,1998,Teal,JN1AZ4FH3FM179945,46162.42
Dodge,Grand Caravan,2002,Aquamarine,KMHHT6KJ9FU609667,44719.82
Chevrolet,Silverado 2500,2011,Red,JHMZF1C42CS508519,25057.87
GMC,Yukon XL 1500,2018,Crimson,JTEBU5JR0B5482462,40654.74
Audi,A5,2001,Indigo,SAJWA1CB5CL743977,25514.22
Ford,E150,2015,Turquoise,WBA3B5G50DN991812,16564.9
